SMILES,LogP,TPSA,MolWt,Van_Der_Waals volumeFraction_non_rotatable_bounds,num_atoms,Degree_of_branching
CCCCC(C)C,2.832600000000001,0.0,100.20499999999998,259.8683555147429,0.0,23.0
CCCCCCC(C(C(C)C)CCCCCC)CC(C(C)C)CCCCC,10.058199999999996,0.0,380.7450000000001,960.9880599918891,0.0,83.0
CCCCCCCCC(CCCCCC)CC(C)CCCCCCCC,10.100399999999995,0.0,366.71800000000025,925.9320747680318,0.0,80.0
CCCCCCC(CCCCCCCC)CCCCCCCC,9.074200000000001,0.0,324.63700000000006,820.7641190964598,0.0,71.0
CC1=CC2=NNN=C2C=C1.C(CO)N(CCO)CCO,-0.4683800000000002,105.5,282.344,542.1996221014284,0.5,42.0
CCCCCC(C(OC)=O)CCCC,3.5461000000000027,26.3,200.32199999999995,451.86888493398556,0.15384615384615385,38.0
CC1CCCCC1C,2.832600000000001,0.0,112.216,280.44788179085845,0.75,24.0
O=S(C1=CC=C([C18H21])C=C1)(O)=O,,,,,,
CCCCCCCCC(C(CC)CCCCC)CC(C)CCCC,9.176100000000002,0.0,338.6640000000001,855.8201043203171,0.0,74.0
CCCCCCC(C(C)CCC)CC(C)CCCCCC,8.005800000000008,0.0,296.583,750.6521486487452,0.0,65.0
CCCCCCCCC(CCCCC)CCCCCC,7.903900000000008,0.0,282.5559999999999,715.5961634248879,0.0,62.0
CCCCCCCC(C)C(CCCCC)C(C)CCCCC,8.395900000000006,0.0,310.61000000000007,785.7081338726025,0.0,68.0
OC1=CC=C(CCCC)C=C1C(O[Ca]OC(C2=CC(CCCC)=CC=C2O)=O)=O,4.331000000000005,93.06,426.5220000000003,792.4405669292455,0.5333333333333333,55.0
OC1=C(C(C)(C)C)C=C(CCC(OCC)=O)C=C1C(C)(C)C,4.482900000000004,46.53,306.446,654.9534768338685,0.7272727272727273,52.0
O=C1CC(B(C(C)(C)C)C(C)(C)C)C(N1CCNCCN2C(CC(B(C(C)(C)C)C(C)(C)C)C2=O)=O)=O,5.024200000000005,86.78999999999999,515.3570000000004,1108.1004663790895,0.7894736842105263,88.0
CCCCCCCCN(C1=CC=CC=C1)C2=CC=CC=C2CCCC,7.527800000000007,3.24,337.5510000000002,764.4039468910589,0.46153846153846156,60.0
O=C(C1=CC=CC=C1)N2N=NC3=C2C=CC=C3,2.1197999999999997,47.78,223.23499999999999,399.74829201460403,0.9473684210526315,26.0
CCCCC,2.1965000000000003,0.0,72.151,189.7563850670283,0.0,17.0
CCC(C)CC,2.442500000000001,0.0,86.178,224.8123702908856,0.0,20.0
CCCCC(C(OCC)=O)C(OCC)=O,1.919,52.6,216.27699999999996,433.5335030100843,0.2857142857142857,35.0
CC(C(OCCCC)=O)C(OCCCC)=O,2.3091,52.6,230.30399999999995,468.5894882339416,0.26666666666666666,38.0
CCC(CC(C)OCCCC)Cl,3.5991000000000026,9.23,192.72999999999996,397.82563731060714,0.09090909090909091,33.0
O=C(CC)OCCCCCOC,1.7563,35.53,174.23999999999998,362.2994603862625,0.18181818181818182,30.0
COC(C(C)(CC)C)=O,1.5956,26.3,130.18699999999998,276.58895881469897,0.25,23.0
CCCCCC,2.5866000000000007,0.0,86.178,224.8123702908856,0.0,20.0
CCC(C(OC[CH2](C)CCCCCCC[CH2])=O)C,,,,,,
CCC(C(OC)=O)CC,1.5956000000000001,26.3,130.18699999999998,276.58895881469897,0.25,23.0
O=C(OC)C(C)(CCC)C,1.9857,26.3,144.21399999999997,311.6449440385563,0.2222222222222222,26.0
CCCC/C=C\C(CCCCCCC)=C\C(CCCCC)C,8.236100000000006,0.0,306.57800000000003,756.755215977119,0.09523809523809523,64.0
O=C(OC)C(C)(C)CC,1.5956000000000001,26.3,130.18699999999998,276.58895881469897,0.25,23.0
CC(C)(C)C(OC)=O,1.2055,26.3,116.15999999999998,241.5329735908417,0.8571428571428571,20.0
CCCC(C)CCC,3.2227000000000023,0.0,114.232,294.9243407386002,0.0,26.0
CC(C)(C)CC(C)(C)C,3.468700000000003,0.0,128.259,329.9803259624575,1.0,29.0
CCC(C)CCC,2.832600000000001,0.0,100.205,259.8683555147429,0.0,23.0
CCC(C)(C)CC,2.832600000000001,0.0,100.20499999999998,259.8683555147429,0.0,23.0
CCCCCCC,2.976700000000002,0.0,100.205,259.8683555147429,0.0,23.0
CCC(C)CCCC,3.2227000000000023,0.0,114.232,294.9243407386002,0.0,26.0
CC(C)(C)C(C)C(C)C,3.324600000000002,0.0,128.25899999999996,329.9803259624575,0.5,29.0
CC(C)CCCCC,3.2227000000000023,0.0,114.232,294.9243407386002,0.0,26.0
